src_ip,src_port,@timestamp,timestamp,hour,day_of_week,date
192.168.1.88,50442.0,2025-07-30 10:56:36.968000+00:00,2025-07-30T10:56:34.960Z,10,2,2025-07-30
192.168.1.88,50436.0,2025-07-30 10:56:36.968000+00:00,2025-07-30T10:56:34.957Z,10,2,2025-07-30
192.168.1.88,38102.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.989Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.987Z,10,2,2025-07-30
192.168.1.88,38112.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.985Z,10,2,2025-07-30
192.168.1.67,57602.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.984Z,10,2,2025-07-30
192.168.1.88,50450.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.979Z,10,2,2025-07-30
192.168.1.12,35094.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.979Z,10,2,2025-07-30
192.168.1.88,50444.0,2025-07-30 10:56:36.967000+00:00,2025-07-30T10:56:34.978Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:56:31.873000+00:00,2025-07-30T10:56:30.076Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:56:31.873000+00:00,2025-07-30T10:56:30.074Z,10,2,2025-07-30
192.168.1.88,50430.0,2025-07-30 10:56:31.873000+00:00,2025-07-30T10:56:29.998Z,10,2,2025-07-30
192.168.1.88,50418.0,2025-07-30 10:56:31.873000+00:00,2025-07-30T10:56:29.996Z,10,2,2025-07-30
192.168.1.88,50402.0,2025-07-30 10:56:31.873000+00:00,2025-07-30T10:56:29.995Z,10,2,2025-07-30
192.168.1.88,50402.0,2025-07-30 10:56:31.873000+00:00,2025-07-30T10:56:29.995Z,10,2,2025-07-30
192.168.1.88,46506.0,2025-07-30 10:56:26.872000+00:00,2025-07-30T10:56:25.036Z,10,2,2025-07-30
192.168.1.88,46504.0,2025-07-30 10:56:26.872000+00:00,2025-07-30T10:56:25.035Z,10,2,2025-07-30
